Chromosome	Start	End	Strand	gene	locus_tag
chrX	496683	497009	+	PET191	YJR034W
chrX	497355	500612	+	RAD26	YJR035W
chrX	500713	503391	-	HUL4	YJR036C
chrX	503936	507301	+	MLO127	YJR039W
chrX	507746	510085	+	GEF1	YJR040W
chrX	510239	513763	-	URB2	YJR041C
chrX	514055	516289	+	NUP85	YJR042W
chrX	516461	517513	-	POL32	YJR043C
chrX	517813	517884	-	IMT3	YNCJ0022C
chrX	518763	519185	-	VPS55	YJR044C
chrX	519638	521602	-	SSC1	YJR045C
chrX	522048	523862	+	TAH11	YJR046W
chrX	524012	524093	-	YNCJ0023C	YNCJ0023C
chrX	524908	525381	-	ANB1	YJR047C
chrX	526335	526664	+	CYC1	YJR048W
chrX	526884	528476	-	UTR1	YJR049C
chrX	528697	529404	+	ISY1	YJR050W
chrX	529861	531366	+	OSM1	YJR051W
chrX	531828	531898	+	SUF23	YNCJ0024W
chrX	532062	533759	+	RAD7	YJR052W
chrX	534027	535751	+	BFA1	YJR053W
chrX	536056	537549	+	KCH1	YJR054W
chrX	538555	538626	+	HSX1	YNCJ0025W
chrX	538772	539266	+	HIT1	YJR055W
chrX	541508	541579	+	YNCJ0026W	YNCJ0026W
chrX	541792	542502	-	YJR056C	YJR056C
chrX	542956	543044	-	SUP4	YNCJ0027C
chrX	544062	544712	+	CDC8	YJR057W
chrX	544732	545175	-	APS2	YJR058C
chrX	545787	548243	+	PTK2	YJR059W
chrX	548759	549814	+	CBF1	YJR060W
chrX	550511	553318	+	MNN14	YJR061W
chrX	553476	554849	-	NTA1	YJR062C
chrX	555195	555572	+	RPA12	YJR063W
chrX	555914	557602	+	CCT5	YJR064W
chrX	557809	559158	-	ARP3	YJR065C
chrX	559416	566828	+	TOR1	YJR066W
chrX	567019	567444	-	YAE1	YJR067C
chrX	567643	568704	+	RFC2	YJR068W
chrX	568806	569399	-	HAM1	YJR069C
chrX	569621	570598	-	LIA1	YJR070C
chrX	570967	572124	-	NPA3	YJR072C
chrX	572315	572935	-	OPI3	YJR073C
chrX	573095	573751	+	MOG1	YJR074W
chrX	573981	575171	+	HOC1	YJR075W
chrX	575354	576601	-	CDC11	YJR076C
chrX	577255	578190	-	MIR1	YJR077C
chrX	578860	580221	+	BNA2	YJR078W
chrX	580205	581239	+	YJR079W	YJR079W
chrX	580432	581616	-	AIM24	YJR080C
chrX	581914	582255	-	EAF6	YJR082C
chrX	582608	583537	-	ACF4	YJR083C
chrX	583733	585004	+	YJR084W	YJR084W
chrX	585120	585437	-	TMH11	YJR085C
chrX	586068	586400	+	STE18	YJR086W
chrX	586495	587373	-	EMC2	YJR088C
chrX	587718	590582	+	BIR1	YJR089W
chrX	590872	594327	-	GRR1	YJR090C
chrX	595061	598336	-	JSN1	YJR091C
chrX	598735	603078	+	BUD4	YJR092W
chrX	603220	604203	-	FIP1	YJR093C
chrX	604569	605651	-	IME1	YJR094C
chrX	605936	607424	-	IRT1	YNCJ0028C
chrX	608305	608858	+	RPL43B	YJR094W-A
chrX	609773	610741	+	SFC1	YJR095W
chrX	611195	612043	+	YJR096W	YJR096W
chrX	612413	612931	+	JJJ3	YJR097W
chrX	613186	615156	-	YJR098C	YJR098C
chrX	615576	616286	+	YUH1	YJR099W
chrX	616351	617334	-	AIM25	YJR100C
chrX	617919	618019	+	YNCJ0029W	YNCJ0029W
chrX	618234	619034	+	RSM26	YJR101W
chrX	619157	619765	-	VPS25	YJR102C
chrX	620754	622490	+	URA8	YJR103W
chrX	622550	623014	-	SOD1	YJR104C
chrX	623581	624603	+	ADO1	YJR105W
chrX	624838	627015	+	ECM27	YJR106W
chrX	627340	628326	+	LIH1	YJR107W
chrX	628457	628693	-	YJR107C-A	YJR107C-A
chrX	628712	629083	+	ABM1	YJR108W
chrX	629585	632941	-	CPA2	YJR109C
chrX	633615	635681	+	YMR1	YJR110W
chrX	635855	636706	-	PXP2	YJR111C
chrX	637030	637635	+	NNF1	YJR112W
chrX	637790	638168	+	YJR112W-A	YJR112W-A
chrX	638232	638975	-	RSM7	YJR113C
chrX	639942	640451	+	YJR115W	YJR115W
chrX	640825	641664	+	TDA4	YJR116W
chrX	642007	643368	+	STE24	YJR117W
chrX	643490	644101	-	ILM1	YJR118C
chrX	644304	646490	-	JHD2	YJR119C
chrX	647126	647476	+	YJR120W	YJR120W
chrX	647607	649142	+	ATP2	YJR121W
chrX	649776	651269	+	IBA57	YJR122W
chrX	651901	652578	+	RPS5	YJR123W
chrX	652892	654238	-	YJR124C	YJR124C
chrX	654737	655963	-	ENT3	YJR125C
chrX	656254	658689	-	VPS70	YJR126C
chrX	658917	663059	-	RSF2	YJR127C
chrX	662921	663280	+	YJR128W	YJR128W
chrX	663749	663942	+	SNR3	YNCJ0030W
chrX	664000	665019	-	EFM3	YJR129C
chrX	665218	667137	-	STR2	YJR130C
chrX	667644	669293	+	MNS1	YJR131W
chrX	669522	672668	+	NMD5	YJR132W
chrX	672991	673620	+	XPT1	YJR133W
chrX	673729	675852	-	SGM1	YJR134C
chrX	676059	676778	-	MCM22	YJR135C
chrX	676971	677234	+	TIM8	YJR135W-A
chrX	677441	678706	-	TTI2	YJR136C
chrX	678957	683285	-	MET5	YJR137C
chrX	684567	689321	+	IML1	YJR138W
chrX	689445	690524	-	HOM6	YJR139C
chrX	690750	695696	-	HIR3	YJR140C
chrX	695906	696949	+	IPA1	YJR141W
chrX	697141	698169	+	YJR142W	YJR142W
chrX	698326	700614	-	PMT4	YJR143C
chrX	700882	701691	+	MGM101	YJR144W
chrX	702027	703068	-	RPS4A	YJR145C
chrX	703885	704238	+	YJR146W	YJR146W
chrX	704196	705272	+	HMS2	YJR147W
chrX	705744	706874	+	BAT2	YJR148W
chrX	707160	708374	+	YJR149W	YJR149W
chrX	708811	709707	-	DAN1	YJR150C
chrX	712255	715740	-	DAN4	YJR151C
chrX	717580	717630	+	YJR151W-A	YJR151W-A
chrX	719666	721297	+	DAL5	YJR152W
chrX	722815	723900	+	PGU1	YJR153W
chrX	725784	726824	+	YJR154W	YJR154W
chrX	727405	728271	+	AAD10	YJR155W
chrX	728574	729596	-	THI11	YJR156C
chrX	732440	734143	+	HXT16	YJR158W
chrX	736044	737117	+	SOR1	YJR159W
chrX	738008	739816	-	MPH3	YJR160C
chrX	742848	743999	-	COS5	YJR161C
chrXI	1810	2181	-	PAU16	YKL224C
chrXI	3503	5620	-	YKL222C	YKL222C
chrXI	6107	7528	+	MCH2	YKL221W
chrXI	9091	11226	-	FRE2	YKL220C
chrXI	14485	15708	+	COS9	YKL219W
chrXI	17359	18339	-	SRY1	YKL218C
chrXI	22234	24084	+	JEN1	YKL217W
chrXI	25215	26159	+	URA1	YKL216W
chrXI	26827	30687	-	OXP1	YKL215C
chrXI	31082	31693	-	YRA2	YKL214C
chrXI	31960	34107	-	DOA1	YKL213C
chrXI	34543	36414	+	SAC1	YKL212W
chrXI	36699	38153	-	TRP3	YKL211C
chrXI	38811	38911	+	SNR64	YNCK0001W
chrXI	39163	42237	+	UBA1	YKL210W
chrXI	42423	46295	-	STE6	YKL209C
chrXI	46735	46806	-	TRT2	YNCK0002C
chrXI	47157	47972	+	CBT1	YKL208W
chrXI	48194	48955	+	EMC3	YKL207W
chrXI	49006	49809	-	ADD66	YKL206C
chrXI	50051	53353	+	LOS1	YKL205W
chrXI	53704	55602	+	EAP1	YKL204W
chrXI	55935	63359	-	TOR2	YKL203C
chrXI	63930	67466	-	MNN4	YKL201C
chrXI	68232	70220	-	PTK1	YKL198C
chrXI	70734	73865	-	PEX1	YKL197C
chrXI	74624	74697	+	YNCK0003W	YNCK0003W
chrXI	74932	75534	-	YKT6	YKL196C
chrXI	75821	77032	+	MIA40	YKL195W
chrXI	77258	78646	-	MST1	YKL194C
chrXI	78866	79882	-	SDS22	YKL193C
chrXI	80160	80537	-	ACP1	YKL192C
chrXI	81035	82639	+	DPH2	YKL191W
chrXI	82947	83550	+	CNB1	YKL190W
chrXI	84208	84291	+	YNCK0004W	YNCK0004W
chrXI	84704	85903	+	HYM1	YKL189W
chrXI	86225	88786	-	PXA2	YKL188C
chrXI	89284	91536	-	FAT3	YKL187C
chrXI	92744	93298	-	MTR2	YKL186C
chrXI	94499	96265	+	ASH1	YKL185W
chrXI	96757	98157	+	SPE1	YKL184W
chrXI	98395	98607	-	YKL183C-A	YKL183C-A
chrXI	98721	99641	+	LOT5	YKL183W
chrXI	100671	106826	+	FAS1	YKL182W
chrXI	107316	108599	+	PRS1	YKL181W
chrXI	109269	110129	+	RPL17A	YKL180W
chrXI	110464	112503	-	COY1	YKL179C
chrXI	113215	114627	-	STE3	YKL178C
chrXI	115500	117986	-	LST4	YKL176C
chrXI	118793	120304	+	ZRT3	YKL175W
chrXI	120380	122236	-	TPO5	YKL174C
chrXI	122517	125543	+	SNU114	YKL173W
chrXI	125759	127042	+	EBP2	YKL172W
chrXI	127475	130261	+	NNK1	YKL171W
chrXI	130634	131050	+	MRPL38	YKL170W
chrXI	131288	133462	-	KKQ8	YKL168C
chrXI	133721	134134	-	MRP49	YKL167C
chrXI	134509	135705	-	TPK3	YKL166C
chrXI	137932	140691	-	MCD4	YKL165C
chrXI	141018	141089	-	YNCK0005C	YNCK0005C
chrXI	141794	142819	-	PIR1	YKL164C
chrXI	144401	145378	+	PIR3	YKL163W
chrXI	147630	148838	-	YKL162C	YKL162C
chrXI	149386	150687	-	KDX1	YKL161C
chrXI	153269	153706	+	ELF1	YKL160W
chrXI	153816	154451	-	RCN1	YKL159C
chrXI	154991	158232	+	APE2	YKL157W
chrXI	158613	159212	+	RPS27A	YKL156W
chrXI	159456	161342	-	RSM22	YKL155C
chrXI	161601	162335	+	SRP102	YKL154W
chrXI	162487	162558	-	YNCK0006C	YNCK0006C
chrXI	163642	164385	-	GPM1	YKL152C
chrXI	164917	165930	-	NNR2	YKL151C
chrXI	166544	167452	+	MCR1	YKL150W
chrXI	167612	168829	-	DBR1	YKL149C
chrXI	169207	171129	-	SDH1	YKL148C
chrXI	171783	173861	+	AVT3	YKL146W
chrXI	174213	175616	+	RPT1	YKL145W
chrXI	175843	176481	-	RPC25	YKL144C
chrXI	176781	178172	+	LTV1	YKL143W
chrXI	178515	179174	+	MRP8	YKL142W
chrXI	179667	180263	+	SDH3	YKL141W
chrXI	180779	182425	+	TGL1	YKL140W
chrXI	182958	184544	+	CTK1	YKL139W
chrXI	184803	185012	-	HSK3	YKL138C-A
chrXI	185286	185681	-	MRPL31	YKL138C
chrXI	185957	186292	+	CMC1	YKL137W
chrXI	186460	188640	-	APL2	YKL135C
chrXI	189124	191442	-	OCT1	YKL134C
chrXI	191679	193070	-	RCI50	YKL133C
chrXI	193574	194866	-	RMA1	YKL132C
chrXI	195288	196028	-	SHE2	YKL130C
chrXI	196349	200167	-	MYO3	YKL129C
chrXI	200884	201771	-	PMU1	YKL128C
chrXI	202999	203071	+	YNCK0007W	YNCK0007W
chrXI	203541	205253	+	PGM1	YKL127W
chrXI	205707	207749	+	YPK1	YKL126W
chrXI	208247	210130	+	RRN3	YKL125W
chrXI	210593	212332	+	SSH4	YKL124W
chrXI	212495	212998	-	SRP21	YKL122C
chrXI	214142	216700	+	DGR2	YKL121W
chrXI	217344	218318	+	OAC1	YKL120W
chrXI	218570	219217	-	VPH2	YKL119C
chrXI	219895	219967	+	YNCK0008W	YNCK0008W
chrXI	220324	220974	+	SBA1	YKL117W
chrXI	221344	222900	-	PRR1	YKL116C
chrXI	223352	224455	-	APN1	YKL114C
chrXI	224727	225875	-	RAD27	YKL113C
chrXI	226570	228765	+	ABF1	YKL112W
chrXI	228939	229880	-	KTI12	YKL110C
chrXI	232227	233891	+	HAP4	YKL109W
chrXI	234426	235787	+	SLD2	YKL108W
chrXI	236141	237070	+	YKL107W	YKL107W
chrXI	237147	237266	-	YKL106C-A	YKL106C-A
chrXI	237536	238891	+	AAT1	YKL106W
chrXI	239185	242583	-	SEG2	YKL105C
chrXI	243220	245373	-	GFA1	YKL104C
chrXI	245032	245286	+	YKL104W-A	YKL104W-A
chrXI	246138	247682	-	APE1	YKL103C
chrXI	248062	248367	-	YKL102C	YKL102C
chrXI	248920	253476	+	HSL1	YKL101W
chrXI	253697	255460	-	YPF1	YKL100C
chrXI	255720	256472	-	UTP11	YKL099C
chrXI	256770	257843	+	MTC2	YKL098W
chrXI	258503	258913	-	YKL097C	YKL097C
chrXI	259073	259222	-	YKL096C-B	YKL096C-B
chrXI	259253	259531	+	CWP2	YKL096W-A
chrXI	261132	261851	+	CWP1	YKL096W
chrXI	262277	263113	+	YJU2	YKL095W
chrXI	263349	264290	+	YJU3	YKL094W
chrXI	264789	265808	+	MBR1	YKL093W
chrXI	266145	269459	-	BUD2	YKL092C
chrXI	269718	270650	-	YKL091C	YKL091C
chrXI	271878	273209	+	CUE2	YKL090W
chrXI	273394	275043	+	MIF2	YKL089W
chrXI	275283	276998	+	CAB3	YKL088W
chrXI	277189	277863	-	CYT2	YKL087C
chrXI	278281	278664	+	SRX1	YKL086W
chrXI	279123	280127	+	MDH1	YKL085W
chrXI	280509	280859	+	HOT13	YKL084W
chrXI	281025	282329	-	RRP14	YKL082C
chrXI	282891	284455	+	TEF4	YKL081W
chrXI	283185	283279	+	SNR38	YNCK0009W
chrXI	285030	286208	+	VMA5	YKL080W
chrXI	286603	288573	+	SMY1	YKL079W
chrXI	288845	291052	+	DHR2	YKL078W
chrXI	291453	292631	+	PSG1	YKL077W
chrXI	292956	294308	-	YKL075C	YKL075C
chrXI	294610	296193	-	MUD2	YKL074C
chrXI	296430	299075	+	LHS1	YKL073W
chrXI	299582	301882	+	STB6	YKL072W
chrXI	302918	303023	+	YNCK0010W	YNCK0010W
chrXI	305114	305884	+	OSI1	YKL071W
chrXI	306211	306720	+	YKL070W	YKL070W
chrXI	307285	307827	+	YKL069W	YKL069W
chrXI	308144	308217	-	YNCK0011C	YNCK0011C
chrXI	309206	309442	+	YKL068W-A	YKL068W-A
chrXI	310199	313078	+	NUP100	YKL068W
chrXI	313401	313472	-	YNCK0012C	YNCK0012C
chrXI	314812	315273	+	YNK1	YKL067W
chrXI	315954	316175	+	DPC7	YKL065W-A
chrXI	316437	317057	-	YET1	YKL065C
chrXI	317764	320673	+	MNR2	YKL064W
chrXI	321015	321518	-	YKL063C	YKL063C
chrXI	323228	325120	+	MSN4	YKL062W
chrXI	325771	326112	+	BLI1	YKL061W
chrXI	326408	327487	-	FBA1	YKL060C
chrXI	328118	329443	-	MPE1	YKL059C
chrXI	330166	330534	+	TOA2	YKL058W
chrXI	330856	333969	-	NUP120	YKL057C
chrXI	334412	334915	-	TMA19	YKL056C
chrXI	335321	336157	-	OAR1	YKL055C
chrXI	336537	338753	-	DEF1	YKL054C
chrXI	339182	339442	-	MDM35	YKL053C-A
chrXI	339668	340546	-	ASK1	YKL052C
chrXI	341312	342373	+	SFK1	YKL051W
chrXI	342852	345620	-	YKL050C	YKL050C
chrXI	346075	346764	-	CSE4	YKL049C
chrXI	347214	349136	-	ELM1	YKL048C
chrXI	349463	351013	+	ANR2	YKL047W
chrXI	351275	352624	-	DCW1	YKL046C
chrXI	353493	355079	+	PRI2	YKL045W
chrXI	356322	356642	+	MMO1	YKL044W
chrXI	356748	357848	+	PHD1	YKL043W
chrXI	358475	359566	+	SPC42	YKL042W
chrXI	360143	360817	+	VPS24	YKL041W
chrXI	361058	361828	-	NFU1	YKL040C
chrXI	362622	364193	+	PTM1	YKL039W
chrXI	364776	364876	+	SNR69	YNCK0013W
chrXI	365605	369117	+	RGT1	YKL038W
chrXI	369365	369721	+	AIM26	YKL037W
chrXI	369891	371390	+	UGP1	YKL035W
chrXI	371829	374105	+	TUL1	YKL034W
chrXI	374505	375215	+	YKL033W-A	YKL033W-A
chrXI	375456	378572	+	TTI1	YKL033W
chrXI	379680	379753	+	YNCK0014W	YNCK0014W
chrXI	380065	381858	-	IXR1	YKL032C
chrXI	382716	384725	-	MAE1	YKL029C
chrXI	385758	387206	+	TFA1	YKL028W
chrXI	387562	388905	+	TCD2	YKL027W
chrXI	389380	389883	-	GPX1	YKL026C
chrXI	390240	392279	-	PAN3	YKL025C
chrXI	392526	393140	-	URA6	YKL024C
chrXI	393146	393373	-	MIN9	YKL023C-A
chrXI	393721	394554	+	SKA1	YKL023W
chrXI	394726	397248	-	CDC16	YKL022C
chrXI	397344	398750	-	MAK11	YKL021C
chrXI	398832	402080	-	SPT23	YKL020C
chrXI	402568	403518	+	RAM2	YKL019W
chrXI	403580	403879	-	MCO12	YKL018C-A
chrXI	404102	405091	+	SWD2	YKL018W
chrXI	405190	407241	-	HCS1	YKL017C
chrXI	407465	407989	-	ATP7	YKL016C
chrXI	408544	411483	+	PUT3	YKL015W
chrXI	411619	416913	-	URB1	YKL014C
chrXI	417508	418023	-	ARC19	YKL013C
chrXI	418310	420061	+	PRP40	YKL012W
chrXI	420155	421216	-	CCE1	YKL011C
chrXI	421424	425875	-	UFD4	YKL010C
chrXI	426242	426952	+	MRT4	YKL009W
chrXI	427295	428551	-	LAC1	YKL008C
chrXI	429302	430108	+	CAP1	YKL007W
chrXI	430198	430632	-	SFT1	YKL006C-A
chrXI	431030	431138	-	SNR87	YNCK0015C
chrXI	431906	432720	+	RPL14A	YKL006W
chrXI	433093	434877	-	BYE1	YKL005C
chrXI	435580	436785	+	AUR1	YKL004W
chrXI	437097	437492	-	MRP17	YKL003C
chrXI	437778	438544	+	DID4	YKL002W
chrXI	438777	439385	-	MET14	YKL001C
chrXI	440608	442722	-	VPS1	YKR001C
chrXI	443232	444938	+	PAP1	YKR002W
chrXI	445381	446727	+	OSH6	YKR003W
chrXI	446799	448036	-	ECM9	YKR004C
chrXI	448521	450167	-	YKR005C	YKR005C
chrXI	450423	451217	-	MRPL13	YKR006C
chrXI	451434	451988	+	MEH1	YKR007W
chrXI	452201	454078	+	RSC4	YKR008W
chrXI	454352	457054	-	FOX2	YKR009C
chrXI	458557	458670	+	YNCK0016W	YNCK0016W
chrXI	458924	461239	-	TOF2	YKR010C
chrXI	461635	462696	-	YKR011C	YKR011C
chrXI	463959	464948	+	PRY2	YKR013W
chrXI	465367	466071	-	YPT52	YKR014C
chrXI	466961	468667	-	YKR015C	YKR015C
chrXI	469717	471339	+	MIC60	YKR016W
chrXI	471694	473349	-	HEL1	YKR017C
chrXI	473723	475900	-	YKR018C	YKR018C
chrXI	476216	478063	-	IRS4	YKR019C
chrXI	478338	478832	+	VPS51	YKR020W
chrXI	479234	481981	+	ALY1	YKR021W
chrXI	482171	483139	-	NTR2	YKR022C
chrXI	483419	485011	+	RQT4	YKR023W
chrXI	485144	487372	-	DBP7	YKR024C
chrXI	487770	488618	+	RPC37	YKR025W
chrXI	488738	489655	-	GCN3	YKR026C
chrXI	490968	491040	+	YNCK0017W	YNCK0017W
chrXI	491364	493661	+	BCH2	YKR027W
chrXI	494257	497358	+	SAP190	YKR028W
chrXI	497578	499833	-	SET3	YKR029C
chrXI	500282	501103	+	GMH1	YKR030W
chrXI	501344	506395	-	SPO14	YKR031C
chrXI	506517	506831	+	YKR032W	YKR032W
chrXI	506898	507707	+	DAL80	YKR034W
chrXI	507939	508553	+	DID2	YKR035W-A
chrXI	508702	510633	-	CAF4	YKR036C
chrXI	510910	511797	-	SPC34	YKR037C
chrXI	511999	513159	-	KAE1	YKR038C
chrXI	513332	513403	-	YNCK0018C	YNCK0018C
chrXI	515063	516871	+	GAP1	YKR039W
chrXI	517988	518060	+	YNCK0019W	YNCK0019W
chrXI	518198	518950	+	YKR041W	YKR041W
chrXI	519527	520624	+	UTH1	YKR042W
chrXI	520897	521712	-	SHB17	YKR043C
chrXI	522015	523346	+	UIP5	YKR044W
chrXI	523418	523969	-	YKR045C	YKR045C
chrXI	524223	525074	-	PLN1	YKR046C
chrXI	525387	526640	-	NAP1	YKR048C
chrXI	526830	527231	-	FMP46	YKR049C
chrXI	527815	530484	+	TRK2	YKR050W
chrXI	530946	532202	+	HFL1	YKR051W
chrXI	532550	533464	-	MRS4	YKR052C
chrXI	534067	535281	-	YSR3	YKR053C
chrXI	535647	547925	-	DYN1	YKR054C
chrXI	548216	549091	+	RHO4	YKR055W
chrXI	549448	551367	+	TRM2	YKR056W
chrXI	551657	552242	+	RPS21A	YKR057W
chrXI	552770	554620	+	GLG1	YKR058W
chrXI	554987	556174	+	TIF1	YKR059W
chrXI	556518	557342	+	UTP30	YKR060W
chrXI	557677	558954	+	KTR2	YKR061W
chrXI	559016	559366	-	SNR42	YNCK0020C
chrXI	559666	560652	+	TFA2	YKR062W
chrXI	560789	562297	-	LAS1	YKR063C
chrXI	562547	565138	+	OAF3	YKR064W
chrXI	565299	565892	-	PAM17	YKR065C
chrXI	566113	567198	-	CCP1	YKR066C
chrXI	567918	570149	+	GPT2	YKR067W
chrXI	570328	570909	-	BET3	YKR068C
chrXI	571612	573393	+	MET1	YKR069W
chrXI	573574	574632	+	YKR070W	YKR070W
chrXI	574934	575980	-	DRE2	YKR071C
chrXI	576435	578123	-	SIS2	YKR072C
chrXI	578187	578507	-	YKR073C	YKR073C
chrXI	578965	579060	+	YNCK0021W	YNCK0021W
chrXI	579209	579676	+	AIM29	YKR074W
chrXI	579827	580750	-	YKR075C	YKR075C
chrXI	582283	583395	+	ECM4	YKR076W
chrXI	583653	584744	+	MSA2	YKR077W
chrXI	584952	586709	+	YKR078W	YKR078W
chrXI	586789	589305	-	TRZ1	YKR079C
chrXI	590395	591357	+	MTD1	YKR080W
chrXI	591506	592540	-	RPF2	YKR081C
chrXI	592825	596298	+	NUP133	YKR082W
chrXI	596421	596822	-	DAD2	YKR083C
chrXI	597055	598890	-	HBS1	YKR084C
chrXI	599094	599681	-	MRPL20	YKR085C
chrXI	599857	603072	+	PRP16	YKR086W
chrXI	603195	604232	-	OMA1	YKR087C
chrXI	604405	605418	-	TVP38	YKR088C
chrXI	605633	608365	-	TGL4	YKR089C
chrXI	608946	611066	+	PXL1	YKR090W
chrXI	611525	612265	+	SRL3	YKR091W
chrXI	612665	613885	-	SRP40	YKR092C
chrXI	615730	617535	+	PTR2	YKR093W
chrXI	617996	618750	-	RPL40B	YKR094C
chrXI	619805	625432	+	MLP1	YKR095W
chrXI	625864	626205	+	PCC1	YKR095W-A
chrXI	626793	630380	+	ESL2	YKR096W
chrXI	631152	632801	+	PCK1	YKR097W
chrXI	633026	635179	-	UBP11	YKR098C
chrXI	635851	638286	+	BAS1	YKR099W
chrXI	638901	639968	-	SKG1	YKR100C
chrXI	640540	642504	+	SIR1	YKR101W
chrXI	646356	649865	+	FLO10	YKR102W
chrXI	653080	656736	+	NFT1	YKR103W
chrXI	656836	657756	+	YKR104W	YKR104W
chrXI	658716	660464	-	VBA5	YKR105C
chrXI	661442	663289	+	GEX2	YKR106W
chrXII	585	4301	-	YLL067C	YLL067C
chrXII	5605	5775	+	YLL066W-B	YLL066W-B
chrXII	6120	9836	-	YLL066C	YLL066C
chrXII	13083	13445	-	PAU18	YLL064C
chrXII	14648	16072	-	AYT1	YLL063C
chrXII	16639	17613	-	MHT1	YLL062C
chrXII	17956	19707	+	MMP1	YLL061W
chrXII	21138	21839	-	GTT2	YLL060C
chrXII	23569	25296	+	YLL058W	YLL058W
chrXII	25756	26994	-	JLP1	YLL057C
chrXII	27409	28305	-	YLL056C	YLL056C
chrXII	30109	31704	+	YCT1	YLL055W
chrXII	32673	35204	-	YLL054C	YLL054C
chrXII	35503	35961	-	YLL053C	YLL053C
chrXII	35912	36361	-	AQY2	YLL052C
chrXII	37333	39471	-	FRE6	YLL051C
chrXII	39804	40414	-	COF1	YLL050C
chrXII	40666	41205	+	LDB18	YLL049W
chrXII	41280	46265	-	YBT1	YLL048C
chrXII	46714	47463	-	RNP1	YLL046C
chrXII	47859	48629	-	RPL8B	YLL045C
chrXII	49938	51947	+	FPS1	YLL043W
chrXII	52087	52590	-	ATG10	YLL042C
chrXII	53131	53931	-	SDH2	YLL041C
chrXII	54211	63645	-	VPS13	YLL040C
chrXII	64062	65207	-	UBI4	YLL039C
chrXII	65775	66518	-	ENT4	YLL038C
chrXII	66745	68256	-	PRP19	YLL036C
chrXII	68580	70478	+	GRC3	YLL035W
chrXII	70633	73146	-	RIX7	YLL034C
chrXII	73409	74101	+	IRC19	YLL033W
chrXII	74270	76747	-	YLL032C	YLL032C
chrXII	77152	80205	-	GPI13	YLL031C
chrXII	80356	80697	-	RRT7	YLL030C
chrXII	81461	83710	+	FRA1	YLL029W
chrXII	84804	86564	+	TPO1	YLL028W
chrXII	87403	88155	+	ISA1	YLL027W
chrXII	88623	91349	+	HSP104	YLL026W
chrXII	92548	92650	+	YNCL0001W	YNCL0001W
chrXII	94747	95121	+	PAU17	YLL025W
chrXII	95566	97485	-	SSA2	YLL024C
chrXII	97997	98836	-	POM33	YLL023C
chrXII	99044	100201	-	HIF1	YLL022C
chrXII	100947	105347	+	SPA2	YLL021W
chrXII	105686	107899	-	KNS1	YLL019C
chrXII	108676	108972	-	COX19	YLL018C-A
chrXII	109902	111575	-	DPS1	YLL018C
chrXII	112234	112545	+	includes YLL016W	YLL017W
chrXII	112847	115993	+	SDC25	YLL016W
chrXII	116432	121111	+	BPT1	YLL015W
chrXII	121322	121648	+	EMC6	YLL014W
chrXII	122075	124714	-	PUF3	YLL013C
chrXII	125534	127255	+	YEH1	YLL012W
chrXII	127523	128992	+	SOF1	YLL011W
chrXII	129330	130613	-	PSR1	YLL010C
chrXII	131205	131414	-	COX17	YLL009C
chrXII	131729	133987	+	DRS1	YLL008W
chrXII	134302	136299	-	LMO1	YLL007C
chrXII	136345	136521	+	YLL006W-A	YLL006W-A
chrXII	136586	137866	+	MMM1	YLL006W
chrXII	137940	140546	-	SPO75	YLL005C
chrXII	141073	142923	+	ORC3	YLL004W
chrXII	143201	146041	+	SFI1	YLL003W
chrXII	146291	147601	+	RTT109	YLL002W
chrXII	147890	150163	+	DNM1	YLL001W
chrXII	151389	153977	-	YLR001C	YLR001C
chrXII	154343	156334	-	NOC3	YLR002C
chrXII	156855	157730	-	CMS1	YLR003C
chrXII	157934	159505	-	THI73	YLR004C
chrXII	160049	161434	+	SSL1	YLR005W
chrXII	161755	163893	-	SSK1	YLR006C
chrXII	164392	165402	+	NSE1	YLR007W
chrXII	165577	166083	-	PAM18	YLR008C
chrXII	166537	167136	+	RLP24	YLR009W
chrXII	167320	167802	-	TEN1	YLR010C
chrXII	167944	168025	-	YNCL0002C	YNCL0002C
chrXII	169103	169678	+	LOT6	YLR011W
chrXII	169982	170281	-	YLR012C	YLR012C
chrXII	171339	171764	+	GAT3	YLR013W
chrXII	172268	174982	-	PPR1	YLR014C
chrXII	175227	176744	+	BRE2	YLR015W
chrXII	176802	177416	-	PML1	YLR016C
chrXII	177608	178621	+	MEU1	YLR017W
chrXII	178707	179606	-	POM34	YLR018C
chrXII	180288	181481	+	PSR2	YLR019W
chrXII	181789	183405	-	YEH2	YLR020C
chrXII	183623	184162	+	IRC25	YLR021W
chrXII	184174	184926	-	SDO1	YLR022C
chrXII	185498	187129	-	IZH3	YLR023C
chrXII	187663	193281	-	UBR2	YLR024C
chrXII	194452	195174	+	SNF7	YLR025W
chrXII	195450	196472	-	SED5	YLR026C
chrXII	196829	198085	-	AAT2	YLR027C
chrXII	198784	199389	+	SNR30	YNCL0003W
chrXII	199540	201315	-	ADE16	YLR028C
chrXII	201976	202590	-	RPL15A	YLR029C
chrXII	203290	204081	+	YLR030W	YLR030W
chrXII	204225	204785	+	YLR031W	YLR031W
chrXII	204991	208500	+	RAD5	YLR032W
chrXII	208761	210269	+	RSC58	YLR033W
chrXII	210512	211933	-	SMF3	YLR034C
chrXII	212369	214456	-	MLH2	YLR035C
chrXII	214883	214955	-	YNCL0004C	YNCL0004C
